report_id,clinic_code,region,period,cohort_size,metric,value,generated_date,classification
RPT-2026Q2-001,CLN-014,Pacific Northwest,2026-Q2,4120,hba1c_control_rate_pct,61.4,2026-07-05,Confidential
RPT-2026Q2-002,CLN-014,Pacific Northwest,2026-Q2,4120,hypertension_screening_rate_pct,78.9,2026-07-05,Confidential
RPT-2026Q2-003,CLN-022,Mountain West,2026-Q2,2755,hba1c_control_rate_pct,57.1,2026-07-05,Confidential
RPT-2026Q2-004,CLN-022,Mountain West,2026-Q2,2755,depression_followup_rate_pct,44.3,2026-07-05,Confidential
RPT-2026Q2-005,CLN-031,Southwest,2026-Q2,6003,hypertension_screening_rate_pct,81.2,2026-07-05,Confidential
RPT-2026Q2-006,CLN-031,Southwest,2026-Q2,6003,colorectal_screening_rate_pct,39.8,2026-07-05,Confidential
RPT-2026Q2-007,CLN-045,Pacific Northwest,2026-Q2,1890,childhood_immunization_rate_pct,92.5,2026-07-05,Confidential
RPT-2026Q2-008,CLN-045,Pacific Northwest,2026-Q2,1890,well_visit_completion_rate_pct,66.0,2026-07-05,Confidential

# SYNTHETIC DATA - fabricated for the Meridian Health Analytics GRC lab. No real patients, clinics, or organisations. Figures are aggregate/de-identified by construction.
