"Risk ID","Risk Summary","Risk Band","CSF Subcategory","Remediation Recommendation","Effort (S/M/L)","Est. Cost","Owner","Priority Window","Status","Evidence (before/after)"
"R-01","Public S3 bucket exposes customer reports","Critical","PR.DS-01","Remove the public-read bucket policy; re-enable Block Public Access at bucket and account level; enable S3 default encryption (SSE-KMS).","S","None","Data team","0-30 days","Remediated 2026-08-31","implemented-fixes.md; 05-s3-bucket.png / 06r-s3-bucket-after.png / 06r-s3-account-bpa-after.png; anon GET 200 -> 403"
"R-02","AdministratorAccess role on internet-facing web host","Critical","PR.AA-05","Replace AdministratorAccess on meridian-ec2-app-role with a policy scoped to the exact S3 read and CloudWatch Logs write the app needs; attach a permissions boundary; add a detective alert on iam:AttachRolePolicy / iam:PutRolePolicy for this role.","M","None","Security team","0-30 days","Open",""
"R-03","SSH open to the internet (web-sg)","High","PR.IR-01","Remove the 0.0.0.0/0 rule on web-sg TCP 22. Prefer AWS Systems Manager Session Manager for shell access (no inbound port). If SSH must stay, restrict source to a bastion or VPN CIDR /32.","S","None (SSM is free)","Platform team","0-30 days","Open",""
"R-04","IMDSv1 enabled on meridian-web","High","PR.PS-01","Set IMDSv2 to Required on the instance (done). Also set the account-level IMDS default to require IMDSv2 for new instances and reduce the metadata hop limit to 1.","S","None","Platform team","0-30 days","Remediated 2026-08-31 (instance); account default pending","implemented-fixes.md; 03-ec2-web.png / 06r-ec2-web-imdsv2-after.png; HttpTokens optional -> required"
"R-16","Callum-v2 (build / admin user) without MFA","High","PR.AA-03","Register an MFA device for Callum-v2 now and attach a policy denying actions when aws:MultiFactorAuthPresent is false. Longer term, move console access to IAM Identity Center / federation and retire the static user.","S now, M later","None","Security team","0-30 days","Open",""
"R-06","Privilege-escalation path via Callum-v2 inline policies","High","PR.AA-05","Remove the AltPermsEC2 and EC2Perm inline policies from Callum-v2 (or reduce to ec2:Describe* read-only). Attach a permissions boundary. Alert on ec2:ModifyInstanceAttribute, ec2:AssociateIamInstanceProfile and iam:PutUserPolicy.","S-M","None","Security team","0-30 days","Open",""
"R-05","meridian-analyst-1 console user without MFA","Medium","PR.AA-03","Register a virtual MFA device for meridian-analyst-1. Enforce MFA for all console users via an account-wide deny-without-MFA IAM policy (covers R-16 too).","S","None","Security team","0-30 days","Open",""
"R-09","No VPC flow logs","Medium","DE.CM-01","Enable VPC flow logs on meridian-vpc to CloudWatch Logs (or S3) with 90-day retention. Alert on rejected traffic toward the private (DB) subnet.","S","Low (~$1-3/mo log storage)","Security team","0-30 days","Open",""
"R-10","No monitoring or alerting on account activity","Medium","DE.AE-02","Deliver CloudTrail to CloudWatch Logs. Create CIS-aligned metric filters and alarms: root usage, unauthorised API calls, IAM policy changes, security-group and NACL changes, console sign-in without MFA, CMK disable / scheduled deletion. Consider enabling GuardDuty.","M","Low-moderate (~$5-20/mo)","Security team","30-90 days","Open",""
"R-11","Callum-v2 long-lived access keys","Medium","PR.AA-01","Retire the long-lived access keys. Move the local CLI to short-lived credentials via IAM Identity Center (aws sso) or role assumption. If a static key must remain, cap age at 90 days and alert on key age via the IAM credential report.","M","None","Security team","30-90 days","Open",""
"R-15","S3 bucket hardening gaps (transport, versioning, logging)","Medium","PR.DS-02","Add an aws:SecureTransport=false Deny statement to both bucket policies. Enable object versioning (and MFA Delete) on the CloudTrail log bucket. Enable S3 server access logging on both buckets.","S","Negligible","Data team / Security team","30-90 days","Open",""
"R-08","EBS volumes unencrypted at rest","Medium","PR.DS-01","Enable account-level EBS default encryption. Re-create the two instance root volumes from encrypted snapshots (stop instance, snapshot, copy with encryption, create volume, detach/attach).","M","Negligible","Platform team","30-90 days","Open",""
"R-12","Weak IAM account password policy","Medium","PR.AA-01","Set the IAM account password policy: minimum length 14, require upper / lower / number / symbol, prevent reuse of last 24, maximum age 90 days.","S","None","Security team","0-30 days","Open",""
"R-07","Root account: virtual (not hardware) MFA and routine use","Medium","PR.AA-01","Register a FIDO2 / hardware security key as the root MFA device. Stop using root for routine operations - operate via a dedicated admin identity or federated admin role. Alert on any root console sign-in.","S","~$25-50 (hardware key)","Account owner","30-90 days","Open",""
"R-14","Stale / unmanaged IAM roles","Low","PR.AA-05","Review DemoEC2 and aws-ec2-spot-fleet-tagging-role: confirm owner and purpose, delete if unused. For any kept service role, add aws:SourceArn / aws:SourceAccount conditions. Institute a quarterly IAM access review.","S","None","Security team","30-90 days","Open",""
"R-13","KMS CMK automatic rotation disabled","Low","PR.DS-01","Enable automatic annual key rotation on the meridian CMK (single setting).","S","Negligible","Security team","0-30 days","Open (quick win)",""
