"Risk ID","Risk Summary","Risk Score","CSF Function","CSF Category","CSF Subcategory","Subcategory Description","Current Maturity","Target Maturity","Gap","Notes / secondary mapping"
"R-01","Public S3 bucket exposes customer reports","25","PROTECT","PR.DS","PR.DS-01","The confidentiality, integrity, and availability of data-at-rest are protected",3,3,0,"REMEDIATED 2026-08-31: public policy removed, Block Public Access re-enabled at both bucket and account level. Anonymous GET now HTTP 403. Also PR.AA-05."
"R-02","AdministratorAccess role on internet-facing web host","20","PROTECT","PR.AA","PR.AA-05","Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principle of least privilege and separation of duties",0,3,3,"Instance role carries AdministratorAccess. Target: scope policy to the S3 / logging actions actually needed; attach a permissions boundary."
"R-03","SSH open to the internet (web-sg)","12","PROTECT","PR.IR","PR.IR-01","Networks and environments are protected from unauthorized logical access and usage",1,3,2,"SG allows TCP 22 from 0.0.0.0/0; key-only auth is a partial control. Target: restrict to a VPN / bastion CIDR, or replace SSH with SSM Session Manager."
"R-04","IMDSv1 enabled on meridian-web","12","PROTECT","PR.PS","PR.PS-01","Configuration management practices are established and applied",3,3,0,"REMEDIATED 2026-08-31: IMDSv2 set to Required on meridian-web (HttpTokens=required, applied). Also PR.AA-03. Account-level default not yet set (older CLI); hop limit left at 2."
"R-05","meridian-analyst-1 console user without MFA","9","PROTECT","PR.AA","PR.AA-03","Users, services, and hardware are authenticated",1,3,2,"Console access with password only. Target: enforce MFA for all console users via an IAM policy condition."
"R-06","Privilege-escalation path via Callum-v2 inline policies","10","PROTECT","PR.AA","PR.AA-05","Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principle of least privilege and separation of duties",0,3,3,"Inline policies grant ec2:ModifyInstanceAttribute / launch-template / start-stop alongside an admin instance role. Target: remove or scope the inline policies; permissions boundary; alert on role attachment changes."
"R-07","Root account: virtual (not hardware) MFA and routine use","5","PROTECT","PR.AA","PR.AA-01","Identities and credentials for authorized users, services, and hardware are managed by the organization",3,4,1,"Root has virtual MFA + strong password (managed). Also PR.AA-05. Gaps: phishing-resistant hardware MFA; reserve root for break-glass only with alerting on use."
"R-08","EBS volumes unencrypted at rest","6","PROTECT","PR.DS","PR.DS-01","The confidentiality, integrity, and availability of data-at-rest are protected",1,3,2,"Only AWS baseline media encryption. Target: enable account default EBS encryption; re-create volumes from encrypted snapshots."
"R-09","No VPC flow logs","9","DETECT","DE.CM","DE.CM-01","Networks and network services are monitored to find potentially adverse events",0,2,2,"Also PR.PS-04 (log records generated). Target: enable VPC flow logs to CloudWatch Logs or S3 with retention."
"R-10","No monitoring or alerting on account activity","9","DETECT","DE.AE","DE.AE-02","Potentially adverse events are analyzed to better understand associated activities",1,3,2,"Also DE.CM-09. CloudTrail records but nothing analyses it. Target: CloudTrail to CloudWatch Logs + metric-filter alarms (root use, unauthorised calls, IAM / SG / NACL changes) or GuardDuty."
"R-11","Callum-v2 long-lived access keys","9","PROTECT","PR.AA","PR.AA-01","Identities and credentials for authorized users, services, and hardware are managed by the organization",1,3,2,"Broad long-lived keys, no rotation. Target: retire or rotate keys; move to short-lived role credentials; monitor key age."
"R-12","Weak IAM account password policy","6","PROTECT","PR.AA","PR.AA-01","Identities and credentials for authorized users, services, and hardware are managed by the organization",1,3,2,"Below CIS baseline. Target: minimum length 14, prevent reuse of last 24, require complexity, set expiry."
"R-13","KMS CMK automatic rotation disabled","3","PROTECT","PR.DS","PR.DS-01","The confidentiality, integrity, and availability of data-at-rest are protected",2,3,1,"CMK in use for CloudTrail but auto-rotation off. Target: enable annual automatic rotation."
"R-14","Stale / unmanaged IAM roles","4","PROTECT","PR.AA","PR.AA-05","Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principle of least privilege and separation of duties",1,3,2,"Leftover roles DemoEC2 and aws-ec2-spot-fleet-tagging-role, no owner or review. Target: periodic access review; delete unused; add SourceArn/SourceAccount conditions on any kept service roles."
"R-15","S3 bucket hardening gaps (transport, versioning, logging)","6","PROTECT","PR.DS","PR.DS-02","The confidentiality, integrity, and availability of data-in-transit are protected",1,3,2,"Headline gap is no aws:SecureTransport deny (PR.DS-02); also no object versioning (PR.DS-11) and no server access logging (PR.PS-04) on either bucket."
"R-16","Callum-v2 (build/admin user) without MFA","12","PROTECT","PR.AA","PR.AA-03","Users, services, and hardware are authenticated",1,4,3,"High-privilege console user with password only. Target: enforce MFA now; longer term federate access and retire the static user."
