"Risk ID","Asset ID","Asset","Threat","Threat Source","Vulnerability","Related Finding","Likelihood","Impact","Risk Score","Risk Band","Existing Controls","Risk Owner","Treatment Decision","Status","Scoring Rationale"
"R-01","A-01 / A-02","Customer population-health reports (S3)","Anonymous download / exfiltration of customer report data","External attacker (opportunistic internet scan)","Bucket and account-level Block Public Access disabled; bucket policy allows s3:GetObject to Principal:*","M-02",5,5,25,"Critical","Post-fix (verified): public-read policy removed; bucket and account Block Public Access re-enabled. Anonymous GET now returns HTTP 403.","Data team","Mitigate","Remediated 2026-08-31","L5: verified anonymously readable; open buckets are found by scanners within hours. I5: Confidential customer data, contractual and breach-notification exposure. Residual risk Low (see 06-remediation-plan/implemented-fixes.md)."
"R-02","A-05 / A-04","meridian-ec2-app-role on meridian-web","Compromise of the web host leads to theft of admin credentials and full account takeover","External attacker","Role has AdministratorAccess and is attached to an internet-facing host that also exposes SSH (M-01) and allows IMDSv1 (M-05); role credentials are retrievable without an application vulnerability","M-03 + M-01 + M-05",4,5,20,"Critical","Instance currently stopped (operational state, not a control).","Security team","Mitigate","Open","L4: SSH open to the internet plus IMDSv1 means a foothold yields role credentials directly. I5: AdministratorAccess equals total account compromise."
"R-03","A-04 / A-12","web-sg / meridian-web","Unauthorised login via credential brute-force or stolen key giving a foothold on the web host","External attacker (automated)","web-sg allows inbound TCP 22 from 0.0.0.0/0","M-01",3,4,12,"High","EC2 key-pair auth only; OS password auth disabled by default on AL2023; instance stopped.","Platform team","Mitigate","Open","L3: management port is continuously scanned, but key-only auth makes successful entry less likely. I4: foothold on the host carrying the admin role (feeds R-02)."
"R-04","A-04","meridian-web instance metadata service","An SSRF-class vulnerability in a workload yields unauthenticated retrieval of instance role credentials","External attacker","IMDSv2 not required (IMDSv1 token-optional); account-level default not enforced","M-05",3,4,12,"High","Post-fix: IMDSv2 set to Required on the instance (HttpTokens=required, applied). IMDSv1 requests now rejected.","Platform team","Mitigate","Remediated 2026-08-31","L3: requires an SSRF-class flaw, but IMDSv1 makes exploitation trivial once present. I4: leaks the attached role credentials (currently admin). Fix is distinct from R-02 (enforce IMDSv2 vs scope the role). Residual: R-02/R-03 still open, so host compromise by other means would still expose the role."
"R-05","A-06","meridian-analyst-1 (IAM user)","Credential phishing or password reuse leads to unauthorised console access as an analyst","External attacker","Console password enabled with no MFA device","M-04",3,3,9,"Medium","Permissions scoped to S3 read-only via the meridian-analysts group; password reset required at next sign-in.","Security team","Mitigate","Open","L3: phishing is common once a password leaks. I3: read-only access, but AmazonS3ReadOnlyAccess can read every bucket including customer-reports (Confidential); no write or escalation path."
"R-06","A-08 / A-05","Callum-v2 IAM user","A low-privilege actor escalates to administrator by attaching the admin role to an instance and reading its credentials","External attacker with Callum-v2 credentials / malicious insider","Inline policies AltPermsEC2 and EC2Perm grant ec2:ModifyInstanceAttribute, ec2:CreateLaunchTemplateVersion and ec2:StartInstances/StopInstances; an AdministratorAccess instance role exists in the account","P-01 (chains with M-03)",2,5,10,"High","None.","Security team","Mitigate","Open","L2: requires Callum-v2 to be compromised first (R-05 raises this) and knowledge of the technique. I5: results in full administrator access."
"R-07","A-09","Root account","Compromise or misuse of root credentials gives unrecoverable full account control","External attacker / phishing / malicious insider","Root protected by virtual (TOTP) MFA only, not a phishing-resistant hardware device; root is also used for routine operations rather than reserved for break-glass","P-04 + P-05",1,5,5,"Medium","Virtual MFA enabled on root (verified: iam_root_mfa_enabled PASS); strong unique root password assumed.","Account owner","Mitigate","Open","L1: password plus virtual MFA is a strong barrier; residual risk is the absence of phishing-resistant hardware MFA plus the practice of using root for day-to-day work. I5: root cannot be constrained by IAM."
"R-08","A-03 / A-04","EBS root volumes","Data-at-rest exposure via snapshot sharing, volume detachment or backend media handling","Malicious insider / attacker with EC2 permissions","Volumes vol-0a3126a768fc6238a and vol-04097aa795bc6cbd4 unencrypted; account default EBS encryption disabled","P-06",2,3,6,"Medium","AWS-side physical media protection (baseline only).","Platform team","Mitigate","Open","L2: needs prior AWS access or an unusual disclosure path. I3: the DB host would hold Confidential data; no account-layer encryption or key segregation."
"R-09","A-12","meridian-vpc","Network-based intrusion or exfiltration cannot be detected or investigated","N/A - control gap that amplifies other threats","VPC flow logs disabled","P-07",3,3,9,"Medium","CloudTrail (API-level activity only, not network).","Security team","Mitigate","Open","L3: an incident needing this evidence is plausible given the other exposures. I3: slows and limits response; not a direct loss."
"R-10","A-10 / A-09","CloudTrail / whole account","Malicious activity (root use, policy or security-group changes, failed logins) goes unnoticed until damage is done","N/A - control gap","CloudTrail not delivered to CloudWatch Logs; no metric filters or alarms; no GuardDuty","P-08",3,3,9,"Medium","CloudTrail recording (multi-region, log-file validation) - logs exist but nothing watches them.","Security team","Mitigate","Open","L3: given the exposures above, triggering activity is plausible. I3: increases dwell time and blast radius of other risks. Partly a known lab trade-off (Step 7)."
